cpd_index,r1,r2,r3,smiles,expt_t_max_count,r1_reagent,r2_reagent,r3_reagent,protein,expt,mw,log_p
OpenDEL0016-6-62-101,6,62,101,CNC(=O)c1ccc(-c2ccc(CN3C(=O)N(c4ccc(-c5nc6cc(C)ccc6o5)cc4C)C(=O)[C@H]3Cc3csc4ccccc34)cc2)cc1,5,O=CC1C=CC(C2C=CC(C(=O)O)=CC=2)=CC=1,OC([C@@H](CC1=CSC2=C1C=CC=C2)N)=O,CC1C=CC2=C(N=C(C3C=CC(N)=C(C)C=3)O2)C=1,neg_control,expt007,690.8250000000003,8.933040000000002
OpenDEL0016-9-63-328,9,63,328,CNC(=O)c1cccc(-c2ccc(CN3C(=O)N(c4ccc(-c5nc6ccccc6o5)cc4C)C(=O)[C@H]3Cc3ccc(OC(C)(C)C)cc3)cc2)c1,5,O=CC1C=CC(C2C=CC=C(C(=O)O)C=2)=CC=1,OC([C@@H](CC1C=CC(OC(C)(C)C)=CC=1)N)=O,NC1C=CC(C2=NC3=C(C=CC=C3)O2)=CC=1C,neg_control,expt007,692.8160000000001,8.587220000000006
OpenDEL0016-9-67-101,9,67,101,CNC(=O)c1cccc(-c2ccc(CN3C(=O)N(c4ccc(-c5nc6cc(C)ccc6o5)cc4C)C(=O)C3Cc3ccc(OC)cc3)cc2)c1,22,O=CC1C=CC(C2C=CC=C(C(=O)O)C=2)=CC=1,COC1C=CC(CC(C(=O)O)N)=CC=1,CC1C=CC2=C(N=C(C3C=CC(N)=C(C)C=3)O2)C=1,neg_control,expt007,664.7620000000002,7.726940000000008
OpenDEL0002-5-453-303,5,453,303,CNC(=O)[C@H]1CC(N2CCCC3(CCOCC3)C2)CN1C(=O)c1cccc(OCc2cccc(F)c2)c1,5,CC(OC(N1CC(=O)C[C@@H]1C(=O)O)=O)(C)C,FC1C=CC=C(COC2C=CC=C(C(=O)O)C=2)C=1,C1CCC2(CCOCC2)CN1,neg_control,expt007,509.6220000000002,3.626400000000003
OpenDEL0002-6-271-153,6,271,153,CNC(=O)[C@@H]1CC(Nc2cccc(OC(F)F)c2)CN1C(=O)c1cccc(-c2ccco2)c1,6,CC(OC(N1CC(=O)C[C@H]1C(=O)O)=O)(C)C,OC(C1C=CC=C(C2=CC=CO2)C=1)=O,FC(OC1C=CC=C(N)C=1)F,neg_control,expt007,455.4610000000002,3.989200000000002
OpenDEL0017-107-9-1082,107,9,1082,CC[C@H](Nc1ccc2cc(C(=O)N(C)Cc3ccc(C)o3)ccc2n1)C(=O)NC,6,CC[C@H](NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)C(=O)O,OC(C1C=CC2=C(C=CC(Cl)=N2)C=1)=O,CNCC1=CC=C(C)O1,neg_control,expt007,394.4750000000001,3.344920000000001
OpenDEL0017-141-22-86,141,22,86,CNC(=O)[C@H](COC)Nc1cncc(C(=O)NCc2cc3cc(OC)ccc3[nH]2)n1,5,COC[C@H](NC(OC(C)(C)C)=O)C(=O)O,OC(C1C=NC=C(Cl)N=1)=O,COC1C=CC2=C(C=C(CN)[NH]2)C=1,neg_control,expt007,412.45000000000016,1.0694000000000004
OpenDEL0017-55-19-884,55,19,884,CNC(=O)C(Nc1cccc(C(=O)N[C@@H]2CCCC[C@@H]2C(N)=O)n1)c1ccccc1,5,OC(C(C1C=CC=CC=1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,OC(C1C=CC=C(F)N=1)=O,NC([C@H]1CCCC[C@H]1N)=O,neg_control,expt007,409.4900000000001,1.7547000000000001
OpenDEL0013-1-60-257,1,60,257,CC(=O)NC1CCC2(CC1)CC2NCc1ccc(C(=O)NCCC(N(C)C)C(F)(F)F)nc1,6,CC(OC(NC1CC12CCC(N)CC2)=O)(C)C,COC(C1C=CC(C=O)=CN=1)=O,NCCC(C(F)(F)F)N(C)C,neg_control,expt007,469.55200000000013,2.6210000000000004
OpenDEL0013-100-60-26,100,60,26,CNC(=O)C[C@@H](Cc1cc(F)c(F)cc1F)NCc1ccc(C(=O)NCCc2cccc3ccc(OC)cc23)nc1,5,OC(C[C@@H](CC1C=C(F)C(F)=CC=1F)NC(OC(C)(C)C)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,NCCC1C=CC=C2C=1C=C(OC)C=C2,neg_control,expt007,564.6080000000002,4.470200000000004
